Ano	Mes	SLuis	teresina	fortaleza	natal	JPessoa	recife	maceio	aracaju	salvador
1969	12	0	85,8	4	7,4	13	46,7	33,3	190,6	308,5
1970	1	124	256,6	92,6	26,9	5,5	102,2	86,1	27,5	192,1
1970	2	163,1	180,3	39	18,8	71,6	113,3	108,3	48,9	164,5
1970	3	225,6	262,1	220,8	208,4	385,7	269,4	292	193,6	73
1970	4	386	178,3	578,6	212,3	517,9	591,3	221,6	78,3	205,1
1970	5	213,2	67,1	53,5	60,8	199,9	186,7	96,2	76,1	244,6
1970	6	176,7	13,8	89,2	214,7	351,7	367,8	145,8	72,3	242
1970	7	112,2	0,3	33,2	93,3	327,7	503,6	269,3	88,9	238,1
1970	8	11,4	5,7	15,3	241	536,4	626	83,7	95,2	139,4
1970	9	25,2	3,9	4,1	29,3	74,6	77,2	39,6	50,2	69,4
1970	10	1,1	44,4	6	2,9	1	11,9	28,6	88,2	102,3
1970	11	66	80,1	47,1	20,1	21	29	0	68,5	221,2
1970	12	3,4	47,8	12,5	1,6	12,1	33,6	3,2	2,6	24,2
1971	1	368,7	146,5	246,8	51,6	145,5	64,1	9,5	9,6	95,4
1971	2	359,8	201,2	177,7	60,1	44,8	40,6	13	87,8	55,9
1971	3	416,3	359	329,2	97,8	197,6	173,1	46,9	110,2	83,4
1971	4	515,5	344,6	225,4	209,8	241,8	190,2	99,3	155,1	653,6
1971	5	336,3	117,5	291,7	276,3	283,4	523,9	270,1	262,5	436,3
1971	6	214	51,3	259,4	164,3	243,5	277,5	194,9	318,8	311,9
1971	7	159,9	22,8	298,3	255,9	259,8	413,2	377,1	147,5	428,6
1971	8	113,5	13,2	29,2	184,4	155,9	154,9	99,6	80,6	288,4
1971	9	18,6	25,8	3,6	74,9	96,5	170,1	185,8	103,8	156,7
1971	10	9,3	49,3	35,6	95	220,3	145,9	134,4	118,4	162,1
1971	11	0	73,3	11	94,5	105,4	51,9	3	4,8	66,5
1971	12	93,3	101,2	26,9	11,9	5,5	11,4	0	3,7	68,2
1972	1	435,3	136	35,5	12	80,6	39,8	66,6	43,3	67,9
1972	2	559,8	231,5	98,1	13,9	77,9	62,1	25,4	89,6	129,6
1972	3	428	254,1	169,2	56,1	121,2	157,3	53,8	76,9	51,2
1972	4	801,9	303,9	83,6	160,1	305,5	359,3	560,3	161,8	272,4
1972	5	556,3	128	300,8	240,7	375,1	287,1	373,2	167,7	313,5
1972	6	272,6	35,5	250,1	59,6	329,9	338,7	331,4	238	242,7
1972	7	130,6	20,9	103,9	223,3	345,7	239	127,9	76,6	75,2
1972	8	15,2	18,6	190,4	116,8	258,7	313,7	282,8	140,7	165
1972	9	61,3	12,7	13,1	59,5	97,1	127,9	132	40,5	152,9
1972	10	0,5	5,4	11,2	18,7	26,6	71,3	98,8	21,2	174,7
1972	11	18,9	14,2	1,8	2,1	1,1	8,9	17,8	8,9	34,8
1972	12	227,7	232,3	29,7	15,8	13,7	39,7	18	87,2	74,7
1973	1	259,6	218,5	124,5	86,1	77,1	76,4	94,6	23	66
1973	2	431,7	202,3	384,7	193,1	71,4	111	18	28,6	18,5
1973	3	304,3	334,4	424,2	237,4	193,4	201,1	13	21,4	59
1973	4	429,3	438,3	407,7	325	549,5	770,4	346,4	102,4	165,6
1973	5	378,8	217,5	324,4	324,4	393,1	313	112	305,3	599,9
1973	6	195,6	28,6	231,9	553,5	624,9	501,2	236,8	250,1	479,3
1973	7	122,2	54,3	195,9	453,4	269,7	422,6	197	191,1	225,4
1973	8	19,7	2,9	25,8	37,1	115,3	100,7	222,3	80,3	151,2
1973	9	68,7	15,2	38,8	138,8	147,4	200,4	228,4	160,7	177,8
1973	10	3,8	93,4	12,9	11,5	38,8	118,6	162,2	130,6	260,6
1973	11	14,6	33,9	26,8	21,7	13,7	23,8	9,6	21,8	170,9
1973	12	48,2	121,6	11,3	37,1	24,2	65,6	10	12,8	48,8
1974	1	196,1	232,7	318	255,8	260,6	210,1	59,4	174,6	163,2
1974	2	412,6	285	204,2	209,1	112,4	174,5	123,2	107,8	292,2
1974	3	325,1	442,6	547,1	304,1	277,7	323,5	136,8	264,5	137,9
1974	4	345,2	379,9	641,8	463,7	236,4	285,3	237,5	316,8	458,3
1974	5	167,1	233,3	680,9	395,1	434	454,6	244	488,1	429,6
1974	6	31,6	13,3	150,5	199,2	226,9	299,6	258,6	150	202
1974	7	53,4	10,8	21,5	276,1	308,5	252,6	273,6	139,1	135,6
1974	8	0,6	1,6	31,8	99	189,5	76,1	131,8	87,2	92,1
1974	9	0	35	62,4	162,8	132,9	121,3	85,8	100,3	80,7
1974	10	14,6	51,2	25,3	9,5	11,1	14,8	0	47,9	112,2
1974	11	23,3	44,2	19,7	10,3	24,7	15,2	29,2	119,7	155,2
1974	12	41,4	98	84,1	39,3	25,3	86,3	11,9	8,6	189,6
1975	1	359,1	132,4	101,9	13,8	87,2	87,1	106,9	85,2	118,1
1975	2	240,9	193	131,5	87,9	43,7	53	15,2	25,8	114,5
1975	3	374	258,3	483,7	119,5	147,2	257,1	107	114,1	169,2
1975	4	470,4	233,1	252,7	91,2	108,1	110,6	230,3	279,3	737,9
1975	5	226	207,8	421,8	134,3	283,4	335,3	660,6	295,7	560,4
1975	6	218,1	12,6	157,7	338,2	182,3	408	438,6	274,9	168,9
1975	7	78,4	78,1	119,7	243,2	294,6	556,2	437,3	368,6	222,3
1975	8	15,4	0,9	12,1	115,7	121,6	171,3	116,3	107,1	134,4
1975	9	3,9	10,4	35,9	37	81,1	73,3	245,5	100,4	142
1975	10	0	9,5	13,7	10,5	39,5	17	16,1	7,7	83,2
1975	11	0	45,5	13,4	8,4	14,7	34,2	16,9	9	103,2
1975	12	39,6	177,7	92,1	36,1	34,7	134	146,2	47,3	118,8
1976	1	173,5	109,9	53,5	7,6	15,2	47,2	35,9	28,2	48,2
1976	2	152,9	240,6	382,1	175,2	192,4	255,4	117,6	37,8	174,3
1976	3	381,6	223,4	333,4	262,1	123,5	404,5	307	139,7	120,3
1976	4	438,4	121,3	370,7	138,7	248,7	236,9	267,8	201,4	179,2
1976	5	307,7	23,4	112,6	189,5	244,7	299,7	212,2	118,4	196,3
1976	6	185	5,9	71,6	88,8	142,7	293,8	312,5	106,7	67,5
1976	7	205,1	0	37,3	90,6	330	268,5	154,6	49,4	153,9
